2020/06/01 12:00:20.498077,9498.53,0.00147432,BTC/USDT,asksale
2020/06/01 12:00:20.498077,9498.53,0.00147432,BTC/USDT,asksale
2020/06/01 12:00:20.498077,9498.53,0.00147432,BTC/USDT,asksale
2020/06/01 12:00:20.498077,9546.38,0.50577,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9546.52,0.0287795,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9546.86,0.8,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9548.75,0.0466815,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9548.75,0.0448185,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9548.87,0.52211,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9549.4,0.196071,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9549.4,0.625603,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9549.4,0.874397,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9550.04,0.00016268,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9550.45,0.0525,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9550.84,0.0975,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9552.15,0.20608,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9554.39,0.157963,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9554.39,0.0420372,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9554.77,0.063,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9555.13,0.005,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9556.84,0.082,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9557.34,1.19657,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9557.34,0.373345,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9557.44,0.08,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9557.44,0.741983,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,9557.45,0.193275,BTC/USDT,bidsale
2020/06/01 12:00:20.498077,2.7e-07,1939.89,DOGE/BTC,bidsale
2020/06/01 12:00:20.498077,2.7e-07,1939.89,DOGE/BTC,bidsale
2020/06/01 12:00:20.498077,2.7e-07,1939.89,DOGE/BTC,bidsale
2020/06/01 12:00:20.498077,2.7e-07,1939.89,DOGE/BTC,bidsale
2020/06/01 12:00:20.498077,2.7e-07,1939.89,DOGE/BTC,bidsale
2020/06/01 12:00:20.498077,0.00257726,117458,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00257911,36246,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00257912,1751,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00258849,19602.8,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.0025885,457370,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.0025912,110184,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00259158,1742.58,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.0026,14002.6,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.0026041,1734.2,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00260555,27747.7,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00261,10840.9,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00261668,1725.86,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00261712,6679.49,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00261864,6678.91,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00262032,6679.49,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00262932,604.315,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.002638,385.146,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.002639,8494.13,DOGE/USDT,bidsale
